symbol,name,exchange,sector,industry,currency
ATRC.US,"AtriCure, Inc. - Common Stock",NASDAQ,,,USD
ATRO.US,Astronics Corporation - Common Stock,NASDAQ,,,USD
ATXG.US,Addentax Group Corp. - Common Stock,NASDAQ,,,USD
ATXS.US,"Astria Therapeutics, Inc. - Common Stock",NASDAQ,,,USD
ATYR.US,"aTyr Pharma, Inc. - Common Stock",NASDAQ,,,USD
AUBN.US,"Auburn National Bancorporation, Inc. - Common Stock",NASDAQ,,,USD
AUDC.US,AudioCodes Ltd. - Ordinary Shares,NASDAQ,,,USD
AUGO.US,Aura Minerals Inc. - Common Shares,NASDAQ,,,USD
AUID.US,authID Inc. - Common Stock,NASDAQ,,,USD
AUMI.US,Themes Gold Miners ETF,NASDAQ,,,USD
AUPH.US,Aurinia Pharmaceuticals Inc - Common Shares,NASDAQ,,,USD
AUR.US,"Aurora Innovation, Inc.  - Class A Common Stock",NASDAQ,,,USD
AURA.US,"Aura Biosciences, Inc. - Common Stock",NASDAQ,,,USD
AUROW.US,"Aurora Innovation, Inc.  - Warrant",NASDAQ,,,USD
AUTL.US,Autolus Therapeutics plc - American Depositary Shares,NASDAQ,,,USD
AUUD.US,Auddia Inc. - Common Stock,NASDAQ,,,USD
AUUDW.US,Auddia Inc. - Warrants,NASDAQ,,,USD
AVAH.US,Aveanna Healthcare Holdings Inc. - Common Stock,NASDAQ,,,USD
AVAV.US,"AeroVironment, Inc. - Common Stock",NASDAQ,,,USD
AVBH.US,"Avidbank Holdings, Inc. - Common Stock",NASDAQ,,,USD
AVBP.US,"ArriVent BioPharma, Inc. - Common Stock",NASDAQ,,,USD
AVDL.US,Avadel Pharmaceuticals plc - Ordinary Share,NASDAQ,,,USD
AVDX.US,"AvidXchange Holdings, Inc. - Common Stock",NASDAQ,,,USD
AVGB.US,Avantis Credit ETF,NASDAQ,,,USD
AVGG.US,Leverage Shares 2X Long AVGO Daily ETF,NASDAQ,,,USD
AVGU.US,GraniteShares 2x Long AVGO Daily ETF,NASDAQ,,,USD
AVGX.US,Defiance Daily Target 2X Long AVGO ETF,NASDAQ,,,USD
AVIR.US,"Atea Pharmaceuticals, Inc. - common stock",NASDAQ,,,USD
AVL.US,Direxion Daily AVGO Bull 2X Shares,NASDAQ,,,USD
AVNW.US,"Aviat Networks, Inc. - Common Stock",NASDAQ,,,USD
AVO.US,"Mission Produce, Inc. - Common Stock",NASDAQ,,,USD
AVPT.US,"AvePoint, Inc. - Class A Common Stock",NASDAQ,,,USD
AVR.US,Anteris Technologies Global Corp. - Common Stock,NASDAQ,,,USD
AVS.US,Direxion Daily AVGO Bear 1X Shares,NASDAQ,,,USD
AVT.US,"Avnet, Inc. - Common Stock",NASDAQ,,,USD
AVTX.US,"Avalo Therapeutics, Inc. - Common Stock",NASDAQ,,,USD
AVUQ.US,Avantis U.S. Quality ETF,NASDAQ,,,USD
AVXC.US,Avantis Emerging Markets ex-China Equity ETF,NASDAQ,,,USD
AVXL.US,Anavex Life Sciences Corp. - Common Stock,NASDAQ,,,USD
AWRE.US,"Aware, Inc. - Common Stock",NASDAQ,,,USD
AXGN.US,"Axogen, Inc. - Common Stock",NASDAQ,,,USD
AXIN.US,Axiom Intelligence Acquisition Corp 1 - Class A Ordinary Shares,NASDAQ,,,USD
AXINR.US,Axiom Intelligence Acquisition Corp 1 - Right,NASDAQ,,,USD
AXINU.US,Axiom Intelligence Acquisition Corp 1 - Units,NASDAQ,,,USD
AXSM.US,"Axsome Therapeutics, Inc. - Common Stock",NASDAQ,,,USD
AXTI.US,AXT Inc - Common Stock,NASDAQ,,,USD
AYTU.US,"Aytu BioPharma, Inc.  - Common Stock",NASDAQ,,,USD
AZ.US,A2Z Cust2Mate Solutions Corp. - Common Shares,NASDAQ,,,USD
AZI.US,Autozi Internet Technology (Global) Ltd. - Class A Ordinary Shares,NASDAQ,,,USD
AZN.US,AstraZeneca PLC - American Depositary Shares,NASDAQ,,,USD
AZTA.US,"Azenta, Inc. - Common Stock",NASDAQ,,,USD
AZYY.US,GraniteShares YieldBoost AMZN ETF,NASDAQ,,,USD
BABX.US,GraniteShares 2x Long BABA Daily ETF,NASDAQ,,,USD
BACC.US,Blue Acquisition Corp. - Class A Ordinary Shares,NASDAQ,,,USD
BACCR.US,Blue Acquisition Corp. - Right,NASDAQ,,,USD
BACCU.US,Blue Acquisition Corp. - Unit,NASDAQ,,,USD
BACQ.US,Bleichroeder Acquisition Corp. I - Class A Ordinary Shares,NASDAQ,,,USD
BACQR.US,Bleichroeder Acquisition Corp. I - Right,NASDAQ,,,USD
BACQU.US,Bleichroeder Acquisition Corp. I - Unit,NASDAQ,,,USD
BAER.US,"Bridger Aerospace Group Holdings, Inc. - Common Stock",NASDAQ,,,USD
BAERW.US,"Bridger Aerospace Group Holdings, Inc. - Warrant",NASDAQ,,,USD
BAFE.US,Brown Advisory Flexible Equity ETF,NASDAQ,,,USD
BAFN.US,BayFirst Financial Corp. - Common Stock,NASDAQ,,,USD
BAIG.US,Leverage Shares 2X Long BBAI Daily ETF,NASDAQ,,,USD
BAND.US,Bandwidth Inc. - Class A Common Stock,NASDAQ,,,USD
BANF.US,BancFirst Corporation - Common Stock,NASDAQ,,,USD
BANFP.US,BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities,NASDAQ,,,USD
BANL.US,CBL International Limited - Ordinary Shares,NASDAQ,,,USD
BANR.US,Banner Corporation - Common Stock,NASDAQ,,,USD
BANX.US,ArrowMark Financial Corp. - Closed End Fund,NASDAQ,,,USD
BAOS.US,Baosheng Media Group Holdings Limited - Ordinary shares,NASDAQ,,,USD
BASG.US,Brown Advisory Sustainable Growth ETF,NASDAQ,,,USD
BASV.US,Brown Advisory Sustainable Value ETF,NASDAQ,,,USD
BATRA.US,"Atlanta Braves Holdings, Inc. - Series A Common Stock",NASDAQ,,,USD
BATRK.US,"Atlanta Braves Holdings, Inc. - Series C Common Stock",NASDAQ,,,USD
BAYA.US,Bayview Acquisition Corp - Ordinary Share,NASDAQ,,,USD
BAYAR.US,Bayview Acquisition Corp - Right,NASDAQ,,,USD
BAYAU.US,Bayview Acquisition Corp - Unit,NASDAQ,,,USD
BBB.US,CYBER HORNET S&P 500 and Bitcoin 75/25 Strategy ETF,NASDAQ,,,USD
BBCP.US,"Concrete Pumping Holdings, Inc.  - Common Stock",NASDAQ,,,USD
BBGI.US,"Beasley Broadcast Group, Inc. - Class A Common Stock",NASDAQ,,,USD
BBH.US,VanEck Biotech ETF,NASDAQ,,,USD
BBIO.US,"BridgeBio Pharma, Inc. - Common Stock",NASDAQ,,,USD
BBLG.US,Bone Biologics Corp - Common Stock,NASDAQ,,,USD
BBLGW.US,Bone Biologics Corp - warrants,NASDAQ,,,USD
BBNX.US,"Beta Bionics, Inc. - Common Stock",NASDAQ,,,USD
BBOT.US,"BridgeBio Oncology Therapeutics, Inc. - Common Stock",NASDAQ,,,USD
BBSI.US,"Barrett Business Services, Inc. - Common Stock",NASDAQ,,,USD
BCAB.US,"BioAtla, Inc. - Common Stock",NASDAQ,,,USD
BCAL.US,California BanCorp - Common Stock,NASDAQ,,,USD
BCAR.US,D. Boral ARC Acquisition I Corp. - Class A Ordinary Shares,NASDAQ,,,USD
BCARU.US,D. Boral ARC Acquisition I Corp. - Units,NASDAQ,,,USD
BCARW.US,D. Boral ARC Acquisition I Corp. - Warrant,NASDAQ,,,USD
BCAX.US,Bicara Therapeutics Inc. - Common Stock,NASDAQ,,,USD
BCBP.US,"BCB Bancorp, Inc. (NJ) - Common Stock",NASDAQ,,,USD
BCDA.US,"BioCardia, Inc. - Common Stock",NASDAQ,,,USD
BCG.US,"Binah Capital Group, Inc. - Common Stock",NASDAQ,,,USD
BCGWW.US,"Binah Capital Group, Inc. - Warrants",NASDAQ,,,USD
BCIC.US,BCP Investment Corporation - Closed End Fund,NASDAQ,,,USD
BCLO.US,iShares BBB-B CLO Active ETF,NASDAQ,,,USD
BCML.US,BayCom Corp - Common Stock,NASDAQ,,,USD
BCPC.US,Balchem Corporation - Common Stock,NASDAQ,,,USD
BCRX.US,"BioCryst Pharmaceuticals, Inc. - Common Stock",NASDAQ,,,USD
BCTX.US,BriaCell Therapeutics Corp. - Common Shares,NASDAQ,,,USD
BCTXW.US,BriaCell Therapeutics Corp. - Warrant,NASDAQ,,,USD
BCTXZ.US,BriaCell Therapeutics Corp. - Warrant,NASDAQ,,,USD
BCYC.US,Bicycle Therapeutics plc - American Depositary Shares,NASDAQ,,,USD
BDCIU.US,BTC Development Corp. - Unit,NASDAQ,,,USD
BDGS.US,Bridges Capital Tactical ETF,NASDAQ,,,USD
BDMD.US,Baird Medical Investment Holdings Ltd - Ordinary Share,NASDAQ,,,USD
BDMDW.US,Baird Medical Investment Holdings Ltd - Warrant,NASDAQ,,,USD
BDRX.US,Biodexa Pharmaceuticals plc - American Depositary Shares,NASDAQ,,,USD
BDSX.US,"Biodesix, Inc. - Common Stock",NASDAQ,,,USD
BDTX.US,"Black Diamond Therapeutics, Inc. - Common Stock",NASDAQ,,,USD
BDVL.US,iShares Disciplined Volatility Equity Active ETF,NASDAQ,,,USD
BDYN.US,iShares Dynamic Equity Active ETF,NASDAQ,,,USD
BEAG.US,Bold Eagle Acquisition Corp. - Class A Ordinary Shares,NASDAQ,,,USD
BEAGR.US,Bold Eagle Acquisition Corp. - Right,NASDAQ,,,USD
BEAGU.US,Bold Eagle Acquisition Corp. - Units,NASDAQ,,,USD
BEAM.US,Beam Therapeutics Inc. - Common Stock,NASDAQ,,,USD
BEAT.US,"Heartbeam, Inc. - Common Stock",NASDAQ,,,USD
BEATW.US,"Heartbeam, Inc. - Warrant",NASDAQ,,,USD
BEEM.US,Beam Global - Common Stock,NASDAQ,,,USD
BEEP.US,Mobile Infrastructure Corporation - Common Stock,NASDAQ,,,USD
BEEX.US,The Beehive ETF,NASDAQ,,,USD
BEEZ.US,Honeytree U.S. Equity ETF,NASDAQ,,,USD
BELFA.US,Bel Fuse Inc. - Class A Common Stock,NASDAQ,,,USD
BELFB.US,Bel Fuse Inc. - Class B Common Stock,NASDAQ,,,USD
BELT.US,iShares U.S. Select Equity Active ETF,NASDAQ,,,USD
BENF.US,Beneficient - Class A Common Stock,NASDAQ,,,USD
BENFW.US,Beneficient - Warrant,NASDAQ,,,USD
BETR.US,Better Home & Finance Holding Company - Class A Common Stock,NASDAQ,,,USD
BETRW.US,Better Home & Finance Holding Company - Warrant,NASDAQ,,,USD
BFC.US,Bank First Corporation - Common Stock,NASDAQ,,,USD
BFIN.US,BankFinancial Corporation - Common Stock,NASDAQ,,,USD
BFRG.US,"Bullfrog AI Holdings, Inc. - Common Stock",NASDAQ,,,USD
BFRGW.US,"Bullfrog AI Holdings, Inc. - Warrants",NASDAQ,,,USD
BFRI.US,Biofrontera Inc. - Common Stock,NASDAQ,,,USD
BFRIW.US,Biofrontera Inc. - Warrants,NASDAQ,,,USD
BFST.US,"Business First Bancshares, Inc. - Common Stock",NASDAQ,,,USD
BGC.US,"BGC Group, Inc. - Class A Common Stock",NASDAQ,,,USD
BGFV.US,Big 5 Sporting Goods Corporation - Common Stock,NASDAQ,,,USD
BGL.US,Blue Gold Limited - Class A ordinary shares,NASDAQ,,,USD
BGLC.US,BioNexus Gene Lab Corp - Common stock,NASDAQ,,,USD
BGLWW.US,Blue Gold Limited - Warrant,NASDAQ,,,USD
BGM.US,BGM Group Ltd. - Class A Ordinary Shares,NASDAQ,,,USD
BGMS.US,"Bio Green Med Solution, Inc. - Common Stock",NASDAQ,,,USD
BGMSP.US,"Bio Green Med Solution, Inc. - 6% Convertible Preferred Stock",NASDAQ,,,USD
BGRN.US,iShares USD Green Bond ETF,NASDAQ,,,USD
BGRO.US,iShares Large Cap Growth Active ETF,NASDAQ,,,USD
BHAT.US,Blue Hat Interactive Entertainment Technology - Ordinary Shares,NASDAQ,,,USD
BHF.US,"Brighthouse Financial, Inc. - Common Stock",NASDAQ,,,USD
BHFAL.US,"Brighthouse Financial, Inc. - Junior Subordinated Debentures due 2058",NASDAQ,,,USD
BHFAM.US,"Brighthouse Financial, Inc. - Depositary shares each representing a 1/1,000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock, Series D",NASDAQ,,,USD
BHFAN.US,"Brighthouse Financial, Inc. - depositary shares, each representing a 1/1,000th interest in a share of 5.375% Non-Cumulative Preferred Stock, Series C",NASDAQ,,,USD
BHFAO.US,"Brighthouse Financial, Inc. - Depositary Shares, each representing a 1/1,000th interest in a share of 6.750% Non-Cumulative Preferred Stock, Series B",NASDAQ,,,USD
BHFAP.US,"Brighthouse Financial, Inc. - Depositary Shares 6.6% Non-Cumulative Preferred Stock, Series A",NASDAQ,,,USD
BHRB.US,Burke & Herbert Financial Services Corp. - Common Stock,NASDAQ,,,USD
BHST.US,BioHarvest Sciences Inc. - Common Stock,NASDAQ,,,USD
BIAF.US,"bioAffinity Technologies, Inc. - Common Stock",NASDAQ,,,USD
BIAFW.US,"bioAffinity Technologies, Inc. - Warrant",NASDAQ,,,USD
BIB.US,ProShares Ultra Nasdaq Biotechnology,NASDAQ,,,USD
BIDU.US,"Baidu, Inc. - American Depositary Shares, each representing 8 ordinary share",NASDAQ,,,USD
BILI.US,Bilibili Inc. - American Depositary Shares,NASDAQ,,,USD
BINI.US,"Bollinger Innovations, Inc. - Common Stock",NASDAQ,,,USD
BIOA.US,"BioAge Labs, Inc. - Common Stock",NASDAQ,,,USD
BIOX.US,Bioceres Crop Solutions Corp. - Ordinary Shares,NASDAQ,,,USD
BIRD.US,"Allbirds, Inc. - Class A Common Stock",NASDAQ,,,USD
BIS.US,ProShares UltraShort Nasdaq Biotechnology,NASDAQ,,,USD
BITF.US,Bitfarms Ltd. - Common Stock,NASDAQ,,,USD
BITS.US,Global X Blockchain & Bitcoin Strategy ETF,NASDAQ,,,USD
BIVI.US,BioVie Inc. - Common stock,NASDAQ,,,USD
BIVIW.US,BioVie Inc. - Warrant,NASDAQ,,,USD
BIYA.US,Baiya International Group Inc.  - Ordinary Shares,NASDAQ,,,USD
BJDX.US,"Bluejay Diagnostics, Inc. - Common Stock",NASDAQ,,,USD
BJK.US,VanEck Gaming ETF,NASDAQ,,,USD
BJRI.US,"BJ's Restaurants, Inc. - Common Stock",NASDAQ,,,USD
BKCH.US,Global X Blockchain ETF,NASDAQ,,,USD
BKHA.US,Black Hawk Acquisition Corporation - Class A Ordinary Shares,NASDAQ,,,USD
BKHAR.US,Black Hawk Acquisition Corporation - Rights,NASDAQ,,,USD
BKHAU.US,Black Hawk Acquisition Corporation - Units,NASDAQ,,,USD
BKYI.US,"BIO-key International, Inc. - Common Stock",NASDAQ,,,USD
BL.US,"BlackLine, Inc. - Common Stock",NASDAQ,,,USD
BLBD.US,Blue Bird Corporation - Common Stock,NASDAQ,,,USD
BLBX.US,Blackboxstocks Inc. - Common Stock,NASDAQ,,,USD
BLCN.US,Siren Nasdaq NexGen Economy ETF,NASDAQ,,,USD
BLCR.US,iShares Large Cap Core Active ETF,NASDAQ,,,USD
BLDP.US,"Ballard Power Systems, Inc. - Common Shares",NASDAQ,,,USD
BLFS.US,"BioLife Solutions, Inc. - Common Stock",NASDAQ,,,USD
BLFY.US,Blue Foundry Bancorp - Common Stock,NASDAQ,,,USD
BLIN.US,"Bridgeline Digital, Inc. - Common Stock",NASDAQ,,,USD
BLIV.US,BeLive Holdings - ordinary shares,NASDAQ,,,USD
BLKB.US,"Blackbaud, Inc. - Common Stock",NASDAQ,,,USD
BLMN.US,"Bloomin' Brands, Inc. - Common Stock",NASDAQ,,,USD
BLMZ.US,Harrison Global Holdings Inc. - Ordinary Shares,NASDAQ,,,USD
BLNE.US,"Beeline Holdings, Inc. - Common Stock",NASDAQ,,,USD
BLNK.US,Blink Charging Co. - Common Stock,NASDAQ,,,USD
BLRX.US,BioLineRx Ltd. - American Depositary Shares,NASDAQ,,,USD
BLTE.US,"Belite Bio, Inc - American Depositary Shares",NASDAQ,,,USD
BLUW.US,Blue Water Acquisition Corp. III - Class A Ordinary Shares,NASDAQ,,,USD
BLUWU.US,Blue Water Acquisition Corp. III - Unit.,NASDAQ,,,USD
BLUWW.US,Blue Water Acquisition Corp. III - Warrant.,NASDAQ,,,USD
BLZE.US,"Backblaze, Inc. - Common Stock",NASDAQ,,,USD
BLZRU.US,Trailblazer Acquisition Corp. - Unit,NASDAQ,,,USD
BMAX.US,REX Bitcoin Corporate Treasury Convertible Bond ETF,NASDAQ,,,USD
BMBL.US,Bumble Inc. - common stock,NASDAQ,,,USD
BMDL.US,VictoryShares WestEnd Economic Cycle Bond ETF,NASDAQ,,,USD
BMEA.US,"Biomea Fusion, Inc. - Common Stock",NASDAQ,,,USD
BMGL.US,Basel Medical Group Ltd - ordinary shares,NASDAQ,,,USD
BMHL.US,Bluemount Holdings Limited - Class B Ordinary Shares,NASDAQ,,,USD
BMR.US,Beamr Imaging Ltd. - Ordinary Share,NASDAQ,,,USD
BMRA.US,"Biomerica, Inc. - Common Stock",NASDAQ,,,USD
BMRC.US,Bank of Marin Bancorp - Common Stock,NASDAQ,,,USD
BMRN.US,BioMarin Pharmaceutical Inc. - Common Stock,NASDAQ,,,USD
BNAI.US,Brand Engagement Network Inc. - Common Stock,NASDAQ,,,USD
BNAIW.US,Brand Engagement Network Inc. - Warrant,NASDAQ,,,USD
BNC.US,CEA Industries Inc. - Common Stock,NASDAQ,,,USD
BNCWW.US,CEA Industries Inc. - Warrant,NASDAQ,,,USD
BND.US,Vanguard Total Bond Market ETF,NASDAQ,,,USD
BNDW.US,Vanguard Total World Bond ETF,NASDAQ,,,USD
BNDX.US,Vanguard Total International Bond ETF,NASDAQ,,,USD
BNGO.US,"Bionano Genomics, Inc. - Common Stock",NASDAQ,,,USD
BNR.US,Burning Rock Biotech Limited - American Depositary Shares,NASDAQ,,,USD
BNRG.US,Brenmiller Energy Ltd - Ordinary Shares,NASDAQ,,,USD
BNTC.US,Benitec Biopharma Inc. - Common Stock,NASDAQ,,,USD
BNTX.US,BioNTech SE - American Depositary Shares,NASDAQ,,,USD
BNZI.US,"Banzai International, Inc. - Class A Common Stock",NASDAQ,,,USD
BNZIW.US,"Banzai International, Inc. - Warrant",NASDAQ,,,USD
BODI.US,"The Beachbody Company, Inc. - Class A Common Stock",NASDAQ,,,USD
BOED.US,Direxion Daily BA Bear 1X Shares,NASDAQ,,,USD
BOEG.US,Leverage Shares 2X Long BA Daily ETF,NASDAQ,,,USD
BOEU.US,Direxion Daily BA Bull 2X Shares,NASDAQ,,,USD
BOF.US,BranchOut Food Inc. - Common Stock,NASDAQ,,,USD
BOKF.US,BOK Financial Corporation - Common Stock,NASDAQ,,,USD
BOLD.US,"Boundless Bio, Inc. - Common Stock",NASDAQ,,,USD
BOLT.US,"Bolt Biotherapeutics, Inc. - Common Stock",NASDAQ,,,USD
BON.US,Bon Natural Life Limited - Class A Ordinary Shares,NASDAQ,,,USD
BOOM.US,DMC Global Inc. - Common Stock,NASDAQ,,,USD
BOSC.US,B.O.S. Better Online Solutions - Ordinary Shares,NASDAQ,,,USD
BOTJ.US,"Bank of the James Financial Group, Inc. - Common Stock",NASDAQ,,,USD
BOTT.US,Themes Humanoid Robotics ETF,NASDAQ,,,USD
BOTZ.US,Global X Robotics & Artificial Intelligence ETF,NASDAQ,,,USD
BOWN.US,Bowen Acquisition Corp - Ordinary Shares,NASDAQ,,,USD
BOWNR.US,Bowen Acquisition Corp - Rights,NASDAQ,,,USD
BOWNU.US,Bowen Acquisition Corp - Unit,NASDAQ,,,USD
BOXL.US,Boxlight Corporation - Class A Common Stock,NASDAQ,,,USD
BPOP.US,"Popular, Inc. - Common Stock",NASDAQ,,,USD
BPOPM.US,"Popular, Inc. - Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities",NASDAQ,,,USD
BPRN.US,"Princeton Bancorp, Inc. - Common Stock",NASDAQ,,,USD
BPYPM.US,"Brookfield Property Partners L.P. - 6.25% Class A Cumulative Redeemable Preferred Units, Series 1",NASDAQ,,,USD
BPYPN.US,"Brookfield Property Partners L.P. - 5.750% Class A Cumulative Redeemable Perpetual Preferred Units, Series 3",NASDAQ,,,USD
BPYPO.US,"Brookfield Property Partners L.P. - 6.375% Class A Cumulative Redeemable Perpetual Preferred Units, Series 2",NASDAQ,,,USD
BPYPP.US,Brookfield Property Partners L.P. - 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,NASDAQ,,,USD
BRAG.US,Bragg Gaming Group Inc. - Common Shares,NASDAQ,,,USD
BRBI.US,BRBI BR Partners S.A. - ADSs,NASDAQ,,,USD
BRCB.US,"Black Rock Coffee Bar, Inc. - Class A Common Stock",NASDAQ,,,USD
BREA.US,Brera Holdings PLC - Class B Ordinary Shares,NASDAQ,,,USD
BRFH.US,Barfresh Food Group Inc. - Common Stock,NASDAQ,,,USD
BRHY.US,iShares High Yield Active ETF,NASDAQ,,,USD
BRID.US,Bridgford Foods Corporation - Common Stock,NASDAQ,,,USD
BRKD.US,Direxion Daily BRKB Bear 1X Shares,NASDAQ,,,USD
BRKR.US,Bruker Corporation - Common Stock,NASDAQ,,,USD
BRKRP.US,"Bruker Corporation - 6.375% Mandatory Convertible Preferred Stock, Series A",NASDAQ,,,USD
BRKU.US,Direxion Daily BRKB Bull 2X Shares,NASDAQ,,,USD
BRLS.US,Borealis Foods Inc. - Class A Common Shares,NASDAQ,,,USD
BRLSW.US,Borealis Foods Inc. - Warrant,NASDAQ,,,USD
BRLT.US,"Brilliant Earth Group, Inc. - Class A Common Stock",NASDAQ,,,USD
BRNS.US,Barinthus Biotherapeutics plc - American Depositary Shares,NASDAQ,,,USD
BRNY.US,Burney U.S. Factor Rotation ETF,NASDAQ,,,USD
BRR.US,Columbus Circle Capital Corp I - Class A Ordinary Shares,NASDAQ,,,USD
BRRR.US,Coinshares Bitcoin ETF,NASDAQ,,,USD
BRRWU.US,Columbus Circle Capital Corp I - Units,NASDAQ,,,USD
BRRWW.US,Columbus Circle Capital Corp I - Warrant.,NASDAQ,,,USD
BRTR.US,iShares Total Return Active ETF,NASDAQ,,,USD
BRTX.US,"BioRestorative Therapies, Inc. - Common Stock",NASDAQ,,,USD
BRY.US,Berry Corporation (bry) - Common Stock,NASDAQ,,,USD
BRZE.US,"Braze, Inc. - Class A Common Stock",NASDAQ,,,USD
BSAA.US,BEST SPAC I Acquisition Corp. - Class A Ordinary Shares,NASDAQ,,,USD
BSAAR.US,BEST SPAC I Acquisition Corp. - Rights,NASDAQ,,,USD
BSAAU.US,BEST SPAC I Acquisition Corp. - Unit,NASDAQ,,,USD
BSBK.US,Bogota Financial Corp. - Common Stock,NASDAQ,,,USD
BSCP.US,Invesco BulletShares 2025 Corporate Bond ETF,NASDAQ,,,USD
BSCQ.US,Invesco BulletShares 2026 Corporate Bond ETF,NASDAQ,,,USD
BSCR.US,Invesco BulletShares 2027 Corporate Bond ETF,NASDAQ,,,USD
BSCS.US,Invesco BulletShares 2028 Corporate Bond ETF,NASDAQ,,,USD
BSCT.US,Invesco BulletShares 2029 Corporate Bond ETF,NASDAQ,,,USD
BSCU.US,Invesco BulletShares 2030 Corporate Bond ETF,NASDAQ,,,USD
BSCV.US,Invesco BulletShares 2031 Corporate Bond ETF,NASDAQ,,,USD
BSCW.US,Invesco BulletShares 2032 Corporate Bond ETF,NASDAQ,,,USD
BSCX.US,Invesco BulletShares 2033 Corporate Bond ETF,NASDAQ,,,USD
BSCY.US,Invesco BulletShares 2034 Corporate Bond ETF,NASDAQ,,,USD
BSCZ.US,Invesco BulletShares 2035 Corporate Bond ETF,NASDAQ,,,USD
BSET.US,"Bassett Furniture Industries, Incorporated - Common Stock",NASDAQ,,,USD
BSJP.US,Invesco BulletShares 2025 High Yield Corporate Bond ETF,NASDAQ,,,USD
BSJQ.US,Invesco BulletShares 2026 High Yield Corporate Bond ETF,NASDAQ,,,USD
BSJR.US,Invesco BulletShares 2027 High Yield Corporate Bond ETF,NASDAQ,,,USD
BSJS.US,Invesco BulletShares 2028 High Yield Corporate Bond ETF,NASDAQ,,,USD
BSJT.US,Invesco BulletShares 2029 High Yield Corporate Bond ETF,NASDAQ,,,USD
BSJU.US,Invesco BulletShares 2030 High Yield Corporate Bond ETF,NASDAQ,,,USD
BSJV.US,Invesco BulletShares 2031 High Yield Corporate Bond ETF,NASDAQ,,,USD
BSJW.US,Invesco BulletShares 2032 High Yield Corporate Bond ETF,NASDAQ,,,USD
BSJX.US,Invesco BulletShares 2033 High Yield Corporate Bond ETF,NASDAQ,,,USD
BSLK.US,"Bolt Projects Holdings, Inc. - Common Stock",NASDAQ,,,USD
BSLKW.US,"Bolt Projects Holdings, Inc. - Warrant",NASDAQ,,,USD
BSMP.US,Invesco BulletShares 2025 Municipal Bond ETF,NASDAQ,,,USD
BSMQ.US,Invesco BulletShares 2026 Municipal Bond ETF,NASDAQ,,,USD
BSMR.US,Invesco BulletShares 2027 Municipal Bond ETF,NASDAQ,,,USD
BSMS.US,Invesco BulletShares 2028 Municipal Bond ETF,NASDAQ,,,USD
BSMT.US,Invesco BulletShares 2029 Municipal Bond ETF,NASDAQ,,,USD
BSMU.US,Invesco BulletShares 2030 Municipal Bond ETF,NASDAQ,,,USD
BSMV.US,Invesco BulletShares 2031 Municipal Bond ETF,NASDAQ,,,USD
BSMW.US,Invesco BulletShares 2032 Municipal Bond ETF,NASDAQ,,,USD
BSMY.US,Invesco BulletShares 2034 Municipal Bond ETF,NASDAQ,,,USD
BSMZ.US,Invesco BulletShares 2035 Municipal Bond ETF,NASDAQ,,,USD
BSRR.US,Sierra Bancorp - Common Stock,NASDAQ,,,USD
BSSX.US,Invesco BulletShares 2033 Municipal Bond ETF,NASDAQ,,,USD
BSVN.US,Bank7 Corp. - Common stock,NASDAQ,,,USD
BSVO.US,EA Bridgeway Omni Small-Cap Value ETF,NASDAQ,,,USD
BSY.US,"Bentley Systems, Incorporated - Class B Common Stock",NASDAQ,,,USD
BTAI.US,"BioXcel Therapeutics, Inc. - Common Stock",NASDAQ,,,USD
BTBD.US,"BT Brands, Inc. - Common Stock",NASDAQ,,,USD
BTBDW.US,"BT Brands, Inc. - Warrant",NASDAQ,,,USD
BTBT.US,"Bit Digital, Inc. - Ordinary Share",NASDAQ,,,USD
BTCS.US,BTCS Inc. - Common Stock,NASDAQ,,,USD
BTCT.US,BTC Digital Ltd. - Ordinary Shares,NASDAQ,,,USD
BTDR.US,Bitdeer Technologies Group - Ordinary Shares,NASDAQ,,,USD
BTF.US,CoinShares Bitcoin and Ether ETF,NASDAQ,,,USD
BTFX.US,CoinShares Bitcoin Leverage ETF,NASDAQ,,,USD
BTGD.US,STKd 100% Bitcoin & 100% Gold ETF,NASDAQ,,,USD
BTM.US,Bitcoin Depot Inc. - Class A Common Stock,NASDAQ,,,USD
BTMD.US,Biote Corp. - Class A common stock,NASDAQ,,,USD
BTMWW.US,Bitcoin Depot Inc. - Warrant,NASDAQ,,,USD
BTOC.US,Armlogi Holding Corp. - common stock,NASDAQ,,,USD
BTOG.US,Bit Origin Limited - Class A Ordinary Shares,NASDAQ,,,USD
BTQ.US,BTQ Technologies Corp. - Common Stock,NASDAQ,,,USD
BTSG.US,"BrightSpring Health Services, Inc. - Common Stock",NASDAQ,,,USD
BTSGU.US,"BrightSpring Health Services, Inc. - Tangible Equity Unit",NASDAQ,,,USD
BUFC.US,AB Conservative Buffer ETF,NASDAQ,,,USD
BUFI.US,AB International Buffer ETF,NASDAQ,,,USD
BUFM.US,AB Moderate Buffer ETF,NASDAQ,,,USD
BUG.US,Global X Cybersecurity ETF,NASDAQ,,,USD
BULD.US,Pacer BlueStar Engineering the Future ETF,NASDAQ,,,USD
BULG.US,Leverage Shares 2X Long BULL Daily ETF,NASDAQ,,,USD
