symbol,name,exchange,sector,industry,currency
AVGO.US,Broadcom,NYSE/NASDAQ,Information Technology,Semiconductors,USD
BR.US,Broadridge Financial Solutions,NYSE/NASDAQ,Industrials,Data Processing & Outsourced Services,USD
BRO.US,Brown & Brown,NYSE/NASDAQ,Financials,Insurance Brokers,USD
BF-B.US,Brown–Forman,NYSE/NASDAQ,Consumer Staples,Distillers & Vintners,USD
BLDR.US,Builders FirstSource,NYSE/NASDAQ,Industrials,Building Products,USD
BG.US,Bunge Global,NYSE/NASDAQ,Consumer Staples,Agricultural Products & Services,USD
BXP.US,"BXP, Inc.",NYSE/NASDAQ,Real Estate,Office REITs,USD
CHRW.US,C.H. Robinson,NYSE/NASDAQ,Industrials,Air Freight & Logistics,USD
CDNS.US,Cadence Design Systems,NYSE/NASDAQ,Information Technology,Application Software,USD
CZR.US,Caesars Entertainment,NYSE/NASDAQ,Consumer Discretionary,Casinos & Gaming,USD
CPT.US,Camden Property Trust,NYSE/NASDAQ,Real Estate,Multi-Family Residential REITs,USD
CPB.US,Campbell's Company (The),NYSE/NASDAQ,Consumer Staples,Packaged Foods & Meats,USD
COF.US,Capital One,NYSE/NASDAQ,Financials,Consumer Finance,USD
CAH.US,Cardinal Health,NYSE/NASDAQ,Health Care,Health Care Distributors,USD
KMX.US,CarMax,NYSE/NASDAQ,Consumer Discretionary,Automotive Retail,USD
CCL.US,Carnival,NYSE/NASDAQ,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",USD
CARR.US,Carrier Global,NYSE/NASDAQ,Industrials,Building Products,USD
CAT.US,Caterpillar Inc.,NYSE/NASDAQ,Industrials,Construction Machinery & Heavy Transportation Equipment,USD
CBOE.US,Cboe Global Markets,NYSE/NASDAQ,Financials,Financial Exchanges & Data,USD
CBRE.US,CBRE Group,NYSE/NASDAQ,Real Estate,Real Estate Services,USD
CDW.US,CDW Corporation,NYSE/NASDAQ,Information Technology,Technology Distributors,USD
COR.US,Cencora,NYSE/NASDAQ,Health Care,Health Care Distributors,USD
CNC.US,Centene Corporation,NYSE/NASDAQ,Health Care,Managed Health Care,USD
CNP.US,CenterPoint Energy,NYSE/NASDAQ,Utilities,Multi-Utilities,USD
CF.US,CF Industries,NYSE/NASDAQ,Materials,Fertilizers & Agricultural Chemicals,USD
CRL.US,Charles River Laboratories,NYSE/NASDAQ,Health Care,Life Sciences Tools & Services,USD
SCHW.US,Charles Schwab Corporation,NYSE/NASDAQ,Financials,Investment Banking & Brokerage,USD
CHTR.US,Charter Communications,NYSE/NASDAQ,Communication Services,Cable & Satellite,USD
CVX.US,Chevron Corporation,NYSE/NASDAQ,Energy,Integrated Oil & Gas,USD
CMG.US,Chipotle Mexican Grill,NYSE/NASDAQ,Consumer Discretionary,Restaurants,USD
CB.US,Chubb Limited,NYSE/NASDAQ,Financials,Property & Casualty Insurance,USD
CHD.US,Church & Dwight,NYSE/NASDAQ,Consumer Staples,Household Products,USD
CI.US,Cigna,NYSE/NASDAQ,Health Care,Health Care Services,USD
CINF.US,Cincinnati Financial,NYSE/NASDAQ,Financials,Property & Casualty Insurance,USD
CTAS.US,Cintas,NYSE/NASDAQ,Industrials,Diversified Support Services,USD
CSCO.US,Cisco,NYSE/NASDAQ,Information Technology,Communications Equipment,USD
C.US,Citigroup,NYSE/NASDAQ,Financials,Diversified Banks,USD
CFG.US,Citizens Financial Group,NYSE/NASDAQ,Financials,Regional Banks,USD
CLX.US,Clorox,NYSE/NASDAQ,Consumer Staples,Household Products,USD
CME.US,CME Group,NYSE/NASDAQ,Financials,Financial Exchanges & Data,USD
CMS.US,CMS Energy,NYSE/NASDAQ,Utilities,Multi-Utilities,USD
KO.US,Coca-Cola Company (The),NYSE/NASDAQ,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,USD
CTSH.US,Cognizant,NYSE/NASDAQ,Information Technology,IT Consulting & Other Services,USD
COIN.US,Coinbase,NYSE/NASDAQ,Financials,Financial Exchanges & Data,USD
CL.US,Colgate-Palmolive,NYSE/NASDAQ,Consumer Staples,Household Products,USD
CMCSA.US,Comcast,NYSE/NASDAQ,Communication Services,Cable & Satellite,USD
CAG.US,Conagra Brands,NYSE/NASDAQ,Consumer Staples,Packaged Foods & Meats,USD
COP.US,ConocoPhillips,NYSE/NASDAQ,Energy,Oil & Gas Exploration & Production,USD
ED.US,Consolidated Edison,NYSE/NASDAQ,Utilities,Multi-Utilities,USD
STZ.US,Constellation Brands,NYSE/NASDAQ,Consumer Staples,Distillers & Vintners,USD
CEG.US,Constellation Energy,NYSE/NASDAQ,Utilities,Electric Utilities,USD
COO.US,Cooper Companies (The),NYSE/NASDAQ,Health Care,Health Care Supplies,USD
CPRT.US,Copart,NYSE/NASDAQ,Industrials,Diversified Support Services,USD
GLW.US,Corning Inc.,NYSE/NASDAQ,Information Technology,Electronic Components,USD
CPAY.US,Corpay,NYSE/NASDAQ,Financials,Transaction & Payment Processing Services,USD
CTVA.US,Corteva,NYSE/NASDAQ,Materials,Fertilizers & Agricultural Chemicals,USD
CSGP.US,CoStar Group,NYSE/NASDAQ,Real Estate,Real Estate Services,USD
COST.US,Costco,NYSE/NASDAQ,Consumer Staples,Consumer Staples Merchandise Retail,USD
CTRA.US,Coterra,NYSE/NASDAQ,Energy,Oil & Gas Exploration & Production,USD
CRWD.US,CrowdStrike,NYSE/NASDAQ,Information Technology,Systems Software,USD
CCI.US,Crown Castle,NYSE/NASDAQ,Real Estate,Telecom Tower REITs,USD
CSX.US,CSX Corporation,NYSE/NASDAQ,Industrials,Rail Transportation,USD
CMI.US,Cummins,NYSE/NASDAQ,Industrials,Construction Machinery & Heavy Transportation Equipment,USD
CVS.US,CVS Health,NYSE/NASDAQ,Health Care,Health Care Services,USD
DHR.US,Danaher Corporation,NYSE/NASDAQ,Health Care,Life Sciences Tools & Services,USD
DRI.US,Darden Restaurants,NYSE/NASDAQ,Consumer Discretionary,Restaurants,USD
DDOG.US,Datadog,NYSE/NASDAQ,Information Technology,Application Software,USD
DVA.US,DaVita,NYSE/NASDAQ,Health Care,Health Care Services,USD
DAY.US,Dayforce,NYSE/NASDAQ,Industrials,Human Resource & Employment Services,USD
DECK.US,Deckers Brands,NYSE/NASDAQ,Consumer Discretionary,Footwear,USD
DE.US,Deere & Company,NYSE/NASDAQ,Industrials,Agricultural & Farm Machinery,USD
DELL.US,Dell Technologies,NYSE/NASDAQ,Information Technology,"Technology Hardware, Storage & Peripherals",USD
DAL.US,Delta Air Lines,NYSE/NASDAQ,Industrials,Passenger Airlines,USD
DVN.US,Devon Energy,NYSE/NASDAQ,Energy,Oil & Gas Exploration & Production,USD
DXCM.US,Dexcom,NYSE/NASDAQ,Health Care,Health Care Equipment,USD
FANG.US,Diamondback Energy,NYSE/NASDAQ,Energy,Oil & Gas Exploration & Production,USD
DLR.US,Digital Realty,NYSE/NASDAQ,Real Estate,Data Center REITs,USD
DG.US,Dollar General,NYSE/NASDAQ,Consumer Staples,Consumer Staples Merchandise Retail,USD
DLTR.US,Dollar Tree,NYSE/NASDAQ,Consumer Staples,Consumer Staples Merchandise Retail,USD
D.US,Dominion Energy,NYSE/NASDAQ,Utilities,Multi-Utilities,USD
DPZ.US,Domino's,NYSE/NASDAQ,Consumer Discretionary,Restaurants,USD
DASH.US,DoorDash,NYSE/NASDAQ,Consumer Discretionary,Specialized Consumer Services,USD
DOV.US,Dover Corporation,NYSE/NASDAQ,Industrials,Industrial Machinery & Supplies & Components,USD
DOW.US,Dow Inc.,NYSE/NASDAQ,Materials,Commodity Chemicals,USD
DHI.US,D. R. Horton,NYSE/NASDAQ,Consumer Discretionary,Homebuilding,USD
DTE.US,DTE Energy,NYSE/NASDAQ,Utilities,Multi-Utilities,USD
DUK.US,Duke Energy,NYSE/NASDAQ,Utilities,Electric Utilities,USD
DD.US,DuPont,NYSE/NASDAQ,Materials,Specialty Chemicals,USD
EMN.US,Eastman Chemical Company,NYSE/NASDAQ,Materials,Specialty Chemicals,USD
ETN.US,Eaton Corporation,NYSE/NASDAQ,Industrials,Electrical Components & Equipment,USD
EBAY.US,eBay Inc.,NYSE/NASDAQ,Consumer Discretionary,Broadline Retail,USD
ECL.US,Ecolab,NYSE/NASDAQ,Materials,Specialty Chemicals,USD
EIX.US,Edison International,NYSE/NASDAQ,Utilities,Electric Utilities,USD
EW.US,Edwards Lifesciences,NYSE/NASDAQ,Health Care,Health Care Equipment,USD
EA.US,Electronic Arts,NYSE/NASDAQ,Communication Services,Interactive Home Entertainment,USD
ELV.US,Elevance Health,NYSE/NASDAQ,Health Care,Managed Health Care,USD
EMR.US,Emerson Electric,NYSE/NASDAQ,Industrials,Electrical Components & Equipment,USD
ENPH.US,Enphase Energy,NYSE/NASDAQ,Information Technology,Semiconductor Materials & Equipment,USD
ETR.US,Entergy,NYSE/NASDAQ,Utilities,Electric Utilities,USD
EOG.US,EOG Resources,NYSE/NASDAQ,Energy,Oil & Gas Exploration & Production,USD
EPAM.US,EPAM Systems,NYSE/NASDAQ,Information Technology,IT Consulting & Other Services,USD
EQT.US,EQT Corporation,NYSE/NASDAQ,Energy,Oil & Gas Exploration & Production,USD
EFX.US,Equifax,NYSE/NASDAQ,Industrials,Research & Consulting Services,USD
EQIX.US,Equinix,NYSE/NASDAQ,Real Estate,Data Center REITs,USD
EQR.US,Equity Residential,NYSE/NASDAQ,Real Estate,Multi-Family Residential REITs,USD
ERIE.US,Erie Indemnity,NYSE/NASDAQ,Financials,Insurance Brokers,USD
ESS.US,Essex Property Trust,NYSE/NASDAQ,Real Estate,Multi-Family Residential REITs,USD
EL.US,Estée Lauder Companies (The),NYSE/NASDAQ,Consumer Staples,Personal Care Products,USD
EG.US,Everest Group,NYSE/NASDAQ,Financials,Reinsurance,USD
EVRG.US,Evergy,NYSE/NASDAQ,Utilities,Electric Utilities,USD
ES.US,Eversource Energy,NYSE/NASDAQ,Utilities,Electric Utilities,USD
EXC.US,Exelon,NYSE/NASDAQ,Utilities,Electric Utilities,USD
EXE.US,Expand Energy,NYSE/NASDAQ,Energy,Oil & Gas Exploration & Production,USD
EXPE.US,Expedia Group,NYSE/NASDAQ,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",USD
EXPD.US,Expeditors International,NYSE/NASDAQ,Industrials,Air Freight & Logistics,USD
EXR.US,Extra Space Storage,NYSE/NASDAQ,Real Estate,Self-Storage REITs,USD
XOM.US,ExxonMobil,NYSE/NASDAQ,Energy,Integrated Oil & Gas,USD
FFIV.US,"F5, Inc.",NYSE/NASDAQ,Information Technology,Communications Equipment,USD
FDS.US,FactSet,NYSE/NASDAQ,Financials,Financial Exchanges & Data,USD
FICO.US,Fair Isaac,NYSE/NASDAQ,Information Technology,Application Software,USD
FAST.US,Fastenal,NYSE/NASDAQ,Industrials,Trading Companies & Distributors,USD
FRT.US,Federal Realty Investment Trust,NYSE/NASDAQ,Real Estate,Retail REITs,USD
FDX.US,FedEx,NYSE/NASDAQ,Industrials,Air Freight & Logistics,USD
FIS.US,Fidelity National Information Services,NYSE/NASDAQ,Financials,Transaction & Payment Processing Services,USD
FITB.US,Fifth Third Bancorp,NYSE/NASDAQ,Financials,Regional Banks,USD
FSLR.US,First Solar,NYSE/NASDAQ,Information Technology,Semiconductors,USD
FE.US,FirstEnergy,NYSE/NASDAQ,Utilities,Electric Utilities,USD
FI.US,Fiserv,NYSE/NASDAQ,Financials,Transaction & Payment Processing Services,USD
F.US,Ford Motor Company,NYSE/NASDAQ,Consumer Discretionary,Automobile Manufacturers,USD
FTNT.US,Fortinet,NYSE/NASDAQ,Information Technology,Systems Software,USD
FTV.US,Fortive,NYSE/NASDAQ,Industrials,Industrial Machinery & Supplies & Components,USD
FOXA.US,Fox Corporation (Class A),NYSE/NASDAQ,Communication Services,Broadcasting,USD
FOX.US,Fox Corporation (Class B),NYSE/NASDAQ,Communication Services,Broadcasting,USD
BEN.US,Franklin Resources,NYSE/NASDAQ,Financials,Asset Management & Custody Banks,USD
FCX.US,Freeport-McMoRan,NYSE/NASDAQ,Materials,Copper,USD
GRMN.US,Garmin,NYSE/NASDAQ,Consumer Discretionary,Consumer Electronics,USD
IT.US,Gartner,NYSE/NASDAQ,Information Technology,IT Consulting & Other Services,USD
GE.US,GE Aerospace,NYSE/NASDAQ,Industrials,Aerospace & Defense,USD
GEHC.US,GE HealthCare,NYSE/NASDAQ,Health Care,Health Care Equipment,USD
GEV.US,GE Vernova,NYSE/NASDAQ,Industrials,Heavy Electrical Equipment,USD
GEN.US,Gen Digital,NYSE/NASDAQ,Information Technology,Systems Software,USD
GNRC.US,Generac,NYSE/NASDAQ,Industrials,Electrical Components & Equipment,USD
GD.US,General Dynamics,NYSE/NASDAQ,Industrials,Aerospace & Defense,USD
GIS.US,General Mills,NYSE/NASDAQ,Consumer Staples,Packaged Foods & Meats,USD
GM.US,General Motors,NYSE/NASDAQ,Consumer Discretionary,Automobile Manufacturers,USD
GPC.US,Genuine Parts Company,NYSE/NASDAQ,Consumer Discretionary,Distributors,USD
GILD.US,Gilead Sciences,NYSE/NASDAQ,Health Care,Biotechnology,USD
GPN.US,Global Payments,NYSE/NASDAQ,Financials,Transaction & Payment Processing Services,USD
GL.US,Globe Life,NYSE/NASDAQ,Financials,Life & Health Insurance,USD
GDDY.US,GoDaddy,NYSE/NASDAQ,Information Technology,Internet Services & Infrastructure,USD
GS.US,Goldman Sachs,NYSE/NASDAQ,Financials,Investment Banking & Brokerage,USD
HAL.US,Halliburton,NYSE/NASDAQ,Energy,Oil & Gas Equipment & Services,USD
HIG.US,Hartford (The),NYSE/NASDAQ,Financials,Property & Casualty Insurance,USD
HAS.US,Hasbro,NYSE/NASDAQ,Consumer Discretionary,Leisure Products,USD
HCA.US,HCA Healthcare,NYSE/NASDAQ,Health Care,Health Care Facilities,USD
DOC.US,Healthpeak Properties,NYSE/NASDAQ,Real Estate,Health Care REITs,USD
HSIC.US,Henry Schein,NYSE/NASDAQ,Health Care,Health Care Distributors,USD
HSY.US,Hershey Company (The),NYSE/NASDAQ,Consumer Staples,Packaged Foods & Meats,USD
HPE.US,Hewlett Packard Enterprise,NYSE/NASDAQ,Information Technology,"Technology Hardware, Storage & Peripherals",USD
HLT.US,Hilton Worldwide,NYSE/NASDAQ,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",USD
HOLX.US,Hologic,NYSE/NASDAQ,Health Care,Health Care Equipment,USD
HD.US,Home Depot (The),NYSE/NASDAQ,Consumer Discretionary,Home Improvement Retail,USD
HON.US,Honeywell,NYSE/NASDAQ,Industrials,Industrial Conglomerates,USD
HRL.US,Hormel Foods,NYSE/NASDAQ,Consumer Staples,Packaged Foods & Meats,USD
HST.US,Host Hotels & Resorts,NYSE/NASDAQ,Real Estate,Hotel & Resort REITs,USD
HWM.US,Howmet Aerospace,NYSE/NASDAQ,Industrials,Aerospace & Defense,USD
HPQ.US,HP Inc.,NYSE/NASDAQ,Information Technology,"Technology Hardware, Storage & Peripherals",USD
HUBB.US,Hubbell Incorporated,NYSE/NASDAQ,Industrials,Industrial Machinery & Supplies & Components,USD
HUM.US,Humana,NYSE/NASDAQ,Health Care,Managed Health Care,USD
HBAN.US,Huntington Bancshares,NYSE/NASDAQ,Financials,Regional Banks,USD
HII.US,Huntington Ingalls Industries,NYSE/NASDAQ,Industrials,Aerospace & Defense,USD
IBM.US,IBM,NYSE/NASDAQ,Information Technology,IT Consulting & Other Services,USD
IEX.US,IDEX Corporation,NYSE/NASDAQ,Industrials,Industrial Machinery & Supplies & Components,USD
IDXX.US,Idexx Laboratories,NYSE/NASDAQ,Health Care,Health Care Equipment,USD
ITW.US,Illinois Tool Works,NYSE/NASDAQ,Industrials,Industrial Machinery & Supplies & Components,USD
INCY.US,Incyte,NYSE/NASDAQ,Health Care,Biotechnology,USD
IR.US,Ingersoll Rand,NYSE/NASDAQ,Industrials,Industrial Machinery & Supplies & Components,USD
PODD.US,Insulet Corporation,NYSE/NASDAQ,Health Care,Health Care Equipment,USD
